代码,产品简称,类型
000178,博时混合,混合型
000219,博时裕益混合,混合型
000264,博时内需增长混合,混合型
050001,博时价值增长混合,混合型
050002,博时沪深300指数,股票型
050004,博时精选混合,混合型
050007,博时平衡配置混合,混合型
050008,博时第三产业混合,混合型
050009,博时新兴成长混合,混合型
050010,博时特许价值股票,混合型
050011,博时信用债券A,债券型
050012,博时策略灵活配置混合,混合型
050013,博时超级大盘ETF联接,股票型
050014,博时创业成长混合,混合型
050015,博时大中华亚太精选股票(QDII),QDII
050016,博时宏观回报债券A类,债券型
050018,博时行业轮动混合,混合型
050019,博时转债增强债券A类,债券型
050020,博时抗通胀增强回报（QDII）,QDII
050021,博时深证基本面200ETF联接,股票型
050022,博时回报混合,混合型
050023,博时天颐债券A,债券型
050024,博时上证自然资源ETF联接,股票型
050025,博时标普500ETF联接,股票型
050026,博时医疗保健混合,混合型
050030,博时亚洲票息收益债券（QDII）,QDII
050106,博时稳定价值债券A,债券型
050201,博时价值增长贰号混合,混合型
160505,博时主题行业股票(LOF),混合型
160512,博时卓越品牌混合（LOF）,混合型
090001,大成价值增长混合,混合型
090002,大成债券,债券型
090003,大成蓝筹稳健混合,混合型
090004,大成精选增值混合,混合型
090006,大成2020生命周期混合,混合型
090007,大成策略回报股票,混合型
090008,大成强化收益债券,债券型
090009,大成行业轮动股票,混合型
090010,大成中证红利指数,股票型
090011,大成核心双动力,混合型
090012,大成深证40ETF联接,股票型
090013,大成保本混合,混合型
090015,大成内需增长,混合型
090016,大成中证内地消费主题,混合型
090017,大成可转债,债券型
090018,大成新锐产业,混合型
090019,大成景恒保本混合,其他
092002,大成债券C,债券型
096001,大成标普500,股票型
160910,大成创新成长混合,混合型
519017,大成积极成长股票,混合型
519019,大成景阳领先股票,混合型
519300,大成沪深300指数,股票型
000117,广发轮动配置,混合型
000179,广发美国房地产人民币,股票型
162703,广发小盘成长股票（LOF）,混合型
162711,广发中证500指数（LOF）,股票型
162714,广发深证100指数分级,股票型
270001,广发聚富混合,混合型
270002,广发稳健增长混合,混合型
270005,广发聚丰股票,混合型
270006,广发策略优选混合,混合型
270007,广发大盘成长混合,混合型
270008,广发核心精选股票,混合型
270009,广发增强债券,债券型
270010,广发沪深300指数,股票型
270021,广发聚瑞股票,混合型
270022,广发内需增长混合,混合型
270023,广发亚太精选股票,股票型
270025,广发行业领先股票,混合型
270026,广发中小板300联接,股票型
270027,广发标普全球农业,股票型
270028,广发制造业精选,混合型
270041,广发消费品精选,混合型
270042,广发纳斯达克100,股票型
000193,国泰美房（QDII）,QDII
000199,国泰目标收益保本,混合型
020001,国泰金鹰增长,混合型
020003,国泰金龙行业,混合型
020005,国泰金马稳健,混合型
020009,国泰金鹏蓝筹价值,混合型
020010,国泰金牛创新成长,混合型
020011,国泰沪深300指数,股票型
020015,国泰区位优势,混合型
020018,国泰金鹿保本,其他
020019,国泰双利债券A,债券型
020021,国泰上证180金融ETF联接,股票型
020022,国泰保本混合,其他
020023,国泰事件驱动,混合型
020025,国泰中小板300成长ETF联接,股票型
020026,国泰成长优选,混合型
160211,国泰中小盘成长,混合型
160212,国泰估值,混合型
160213,国泰纳斯达克100,股票型
160215,国泰价值经典,混合型
160216,国泰大宗商品,其他
160218,国泰国证房地产,股票型
519020,国泰金泰平衡,混合型
519021,国泰金鼎价值,混合型
162307,海富通中证100指数（LOF）,股票型
162308,海富通稳进增利分级,债券型
519003,海富通收益增长混合,混合型
519005,海富通股票,混合型
519007,海富通强化回报混合,混合型
519011,海富通精选混合,混合型
519013,海富通风格优势股票,混合型
519015,海富通精选贰号混合,混合型
519024,海富通稳健添利债券A,债券型
519025,海富通领先成长股票,混合型
519026,海富通中小盘股票,混合型
519027,海富通上证周期50ETF联接,股票型
519032,海富通非周期100联接,股票型
519033,海富通国策导向,混合型
519034,海富通中证内地低碳经济,股票型
519601,海富通中国海外股票(QDII),QDII
519602,海富通大中华,混合型
000072,华安保本,其他
000294,华安生态优先,混合型
040001,华安创新混合,混合型
040002,华安中国A股增强指数,股票型
040004,华安宝利配置混合,混合型
040005,华安宏利股票,混合型
040007,华安中小盘成长股票,混合型
040008,华安策略优选股票,混合型
040009,华安稳定收益债券A,债券型
040010,华安稳定收益债券B,债券型
040011,华安核心股票,混合型
040012,华安强化收益债券A,债券型
040013,华安强化收益债券B,债券型
040015,华安动态灵活配置,混合型
040016,华安行业轮动,混合型
040018,华安香港精选,股票型
040019,华安稳固收益债券,债券型
040020,华安升级主题股票,混合型
040021,华安大中华股票,股票型
040022,华安可转债A,债券型
040025,华安科技动力,混合型
040026,华安信用四季红,债券型
040027,华安月月鑫申购,债券型
040035,华安逆向策略,混合型
040045,华安信用增强,债券型
040180,华安上证180ETF联接指数,股票型
040190,华安上证龙头ETF联接,股票型
160415,华安深证300,股票型
160416,华安标普全球石油,股票型
002398,华安安禧保本混合A类,其他
000541,华商创新成长,混合型
630001,华商领先企业,混合型
630002,华商盛世成长,混合型
630003,华商收益增强A类,债券型
630005,华商动态阿尔法,混合型
630006,华商产业升级,混合型
630007,华商稳健双利,债券型
630008,华商策略精选,混合型
630009,华商稳定增利A,债券型
630010,华商价值精选,混合型
630011,华商主题精选,混合型
630015,华商大盘量化,混合型
630016,华商价值共享,混合型
460001,华泰柏瑞盛世中国,混合型
460002,华泰柏瑞积极成长,混合型
460005,华泰柏瑞价值增长,混合型
460007,华泰柏瑞行业领先,混合型
004394,华泰柏瑞量化创优,混合型
460009,华泰柏瑞量化先行,混合型
460010,华泰柏瑞亚洲,混合型
460220,华泰柏瑞中小盘ETF联,股票型
460300,华泰柏瑞沪深300ETF,股票型
519519,华泰柏瑞稳本增利A,债券型
070001,嘉实成长收益混合,混合型
070002,嘉实增长混合,混合型
070003,嘉实稳健混合,混合型
070005,嘉实债券,债券型
070006,嘉实服务增值行业混合,混合型
070009,嘉实超短债债券,债券型
070010,嘉实主题混合,混合型
070011,嘉实策略混合,混合型
070012,嘉实海外中国股票(QDII),QDII
070013,嘉实研究精选股票,混合型
070015,嘉实多元债券A,债券型
070016,嘉实多元债券B,债券型
070017,嘉实量化阿尔法股票,混合型
070018,嘉实回报混合,混合型
070019,嘉实价值优势股票,混合型
070020,嘉实稳固收益债券,债券型
070021,嘉实主题新动力股票,混合型
070022,嘉实领先成长,混合型
070023,嘉实深证基本面120ETF联接,股票型
070025,嘉实信用A,债券型
070027,嘉实周期优选,混合型
070030,嘉实中创400ETF联接,股票型
070099,嘉实优质企业股票,混合型
160706,嘉实沪深300指数（LOF）,股票型
160716,嘉实基本面50指数（LOF）,股票型
160717,嘉实恒生国企指数LOF,股票型
160718,嘉实多利分级,债券型
160719,嘉实黄金（QDII-FOF-LOF）,QDII
000020,景顺品质投资,混合型
000242,景顺策略精选,混合型
162605,景顺长城鼎益,混合型
162607,景顺长城资源垄断,混合型
260101,景顺长城优选股票,混合型
260103,景顺长城动力平衡混合,混合型
260104,景顺长城内需增长股票,混合型
260108,景顺长城新兴成长股票,混合型
260109,景顺长城内需贰号股票,混合型
260110,景顺长城精选蓝筹股票,混合型
260111,景顺长城公司治理,混合型
260112,景顺长城能源基建股票,混合型
260115,景顺长城中小盘,混合型
260116,景顺长城核心竞争力,混合型
260117,景顺支柱产业,混合型
261001,景顺长城稳定收益A,债券型
261002,景顺长城优信增利A,债券型
262001,景顺长城大中华,混合型
263001,景顺长城上证180等权重ETF联接,股票型
160121,南方金砖四国,股票型
160105,南方积极配置股票LOF,混合型
160106,南方高增长股票(LOF),混合型
160119,南方中证500指数,股票型
160123,南方中证50债券指数,债券型
160125,南方中国中小盘,股票型
160127,南方新兴消费增长,股票型
202001,南方稳健成长混合,混合型
202002,南方稳健成长贰号混合,混合型
202003,南方绩优成长股票,混合型
202005,南方成份精选股票,混合型
202007,南方隆元产业主题股票,混合型
202009,南方盛元红利股票,混合型
202011,南方优选价值股票,混合型
202015,南方沪深300指数,股票型
202017,南方深成联接,股票型
202019,南方策略优选股票,混合型
202021,南方小康产业ETF联接,股票型
202023,南方优选成长,混合型
202025,南方上证380ETF联接,股票型
202101,南方宝元债券,混合型
202103,南方多利债券A,债券型
202105,南方广利回报A,债券型
202108,南方润元纯债（A类）,债券型
202202,南方避险增值混合,其他
202211,南方恒元保本混合,其他
202212,南方保本,其他
202801,南方全球精选配置(QDII-FOF),QDII
160616,鹏华中证500指数（LOF）,股票型
160602,鹏华普天债券A,债券型
160603,鹏华普天收益混合,混合型
160605,鹏华中国50混合,混合型
160607,鹏华价值优势股票(LOF),混合型
160608,鹏华普天债券B,债券型
160610,鹏华动力增长混合(LOF),混合型
160611,鹏华优质治理股票(LOF),混合型
160612,鹏华丰收债券,债券型
160613,鹏华盛世创新股票(LOF),混合型
160615,鹏华沪深300指数(LOF),股票型
206001,鹏华行业成长混合,混合型
206002,鹏华精选成长股票,股票型
206003,鹏华信用增利（A类),债券型
206004,鹏华信用增利（B类),债券型
206005,鹏华上证民企50ETF联接,股票型
206006,鹏华环球发现（QDII-FOF）,QDII
206007,鹏华消费优选,混合型
206008,鹏华丰盛稳固收益,债券型
206009,鹏华新兴产业,混合型
206010,鹏华深证民营ETF联接,股票型
206011,鹏华美国房地产,混合型
206012,鹏华价值精选,股票型
206013,鹏华金刚保本,其他
420102,天弘永利债券,债券型
000244,天弘稳利A,债券型
164205,天弘深证成指,混合型
420001,天弘精选,混合型
420003,天弘永定成长,混合型
420005,天弘周期策略,混合型
420008,天弘债券型发起式A,债券型
420009,天弘安康养老,混合型
350005,天治中国制造2025,混合型
350006,天治稳健双盈,债券型
350007,天治趋势精选,混合型
350009,天治稳定收益,混合型
519087,新华优选分红,混合型
519089,新华优选成长,混合型
519091,新华泛资源优势,混合型
519093,新华钻石品质,混合型
519095,新华行业周期轮换,混合型
519097,新华中小市值优选,混合型
519099,新华灵活主题,混合型
519150,新华优选消费,混合型
519152,新华纯债添利A,债券型
519156,新华行业轮换,混合型
519158,新华趋势领航,混合型
161130,易方纳斯达克100指数（LOF）,股票型
000404,易方达新兴成长,混合型
110001,易方达平稳增长,混合型
110002,易方达策略成长,混合型
110003,易方达上证50,股票型
110005,易方达积极成长,混合型
110007,易方达稳健收益A,债券型
110008,易方达稳健收益B,债券型
110009,易方达价值精选,混合型
110010,易方达价值成长,混合型
110011,易方达中小盘,混合型
110012,易方达科汇,混合型
110013,易方达科翔,混合型
110015,易方达行业领先,混合型
110017,易方达增强回报A,债券型
110018,易方达增强回报B,债券型
110019,易方达深证100ETF联接,股票型
110020,易方达沪深300ETF联接,股票型
110021,易方达中盘ETF联接,股票型
110022,易方达消费行业,股票型
110023,易方达医疗行业,混合型
110025,易方达资源行业,混合型
110026,易方达创业板ETF联接,股票型
110027,易方达安心回报A,债券型
110028,易方达安心回报B,债券型
110029,易方达科讯,混合型
110030,易方达沪深300量化,股票型
110031,易方达H股ETF人民币,股票型
112002,易方达策略二号,混合型
118001,易方达亚洲精选,股票型
118002,易方达全球高端消费,股票型
161115,易方达岁丰添利,债券型
161116,易方达黄金主题,其他
161118,易方达中小板指数,股票型
001475,易方达国防军工,混合型
000307,易方达黄金ETF联接,股票型
001433,易方达瑞景混合,混合型
166801,浙商聚潮新思维混合,混合型
166802,浙商沪深300指数分级,股票型
688888,浙商聚潮产业,混合型
590001,中邮核心优选,混合型
590002,中邮核心成长,混合型
590003,中邮核心优势,混合型
590005,中邮核心主题,混合型
590006,中邮中小盘,混合型
590007,中邮上证380,股票型
590008,中邮战略新兴产业,混合型
590009,中邮稳债A,债券型
000960,招商医药健康产业股票,股票型
000746,招商行业精选股票,股票型
217001,招商安泰偏股,混合型
217021,招商优势企业混合,混合型
161706,招商优质成长混合(LOF),混合型
217010,招商大盘蓝筹,混合型
001404,招商移动互联网产业股票,股票型
001403,招商国企改革主题混合基金,混合型
000126,招商安润保本混合,其他
217024,招商安盈保本混合,其他
217002,招商安泰平衡混合,混合型
000679,招商丰利灵活配置,混合型
000530,招商丰盛稳定增长混合,混合型
217012,招商行业领先混合,混合型
217013,招商中小盘精选股票,混合型
217018,招商安瑞进取债券,债券型
217008,招商安本增利债券,债券型
217023,招商信用增强债券,债券型
002031,华夏策略混合,混合型
002021,华夏回报二号混合,混合型
002011,华夏红利混合,混合型
002001,华夏回报混合,混合型
001011,华夏希望债券A,债券型
001001,华夏债券A,债券型
000061,华夏盛世精选股票,混合型
000051,华夏沪深300指数,股票型
000041,华夏全球股票（QDII）,QDII
000031,华夏复兴股票基金,混合型
000021,华夏优势增长股票,混合型
000011,华夏大盘精选混合,混合型
000001,华夏成长混合,混合型
001496,工银瑞信聚焦30股票型,股票型
001158,工银新材料新能源行业股票型,股票型
000831,工银医疗保健行业股票型,股票型
481015,工银主题策略混合型,混合型
000251,工银金融地产行业混合型,混合型
481010,工银瑞信中小盘型,股票型
000263,工银瑞信信息产业混合,混合型
000793,工银高端制造股票,股票型
000893,工银创新动力股票,股票型
481001,工银核心价值股票,混合型
001008,工银国企改革股票,股票型
000991,工银战略转型股票,股票型
001054,工银新金融股票,股票型
483003,工银精选平衡混合,混合型
000763,工银新财富灵活配置混合,混合型
000667,工银绝对收益混合发起,混合型
485107,工银添利债券,债券型
164809,工银中证500指数,股票型
481009,工银沪深300,股票型
519186,万家稳健增利债券A类,债券型
519188,万家信用恒利A类,债券型
519183,万家双引擎灵活配置,混合型
001708,东兴改革精选灵活配置,混合型
001897,九泰久盛量化先锋灵活配置,混合型
590010,中邮稳债C,债券型
519153,新华纯债添利C,债券型
350004,天治天得利,货币型
420108,天弘债券型发起式B,债券型
420106,天弘现金B,货币型
420006,天弘现金A,货币型
420002,天弘永利债券A,债券型
164209,天弘丰利分级A,债券型
164207,天弘添利A,债券型
000245,天弘稳利B,债券型
160619,鹏华丰泽分级A,债券型
160609,鹏华货币B,货币型
160606,鹏华货币A,货币型
202302,南方现金增利货币B,货币型
202301,南方现金增利货币A,货币型
202110,南方润元纯债（C类）,债券型
202109,南方润元纯债（B类）,债券型
202107,南方广利回报C,债券型
202106,南方广利回报B,债券型
202102,南方多利债券C,债券型
160128,南方金利,债券型
160124,南方中证50债券指数C,债券型
261102,景顺长城优信增利C,债券型
261101,景顺长城稳定收益C,债券型
260202,景顺长城货币B,货币型
260102,景顺长城货币A,货币型
070029,嘉实安心货币B,货币型
070028,嘉实安心货币A,货币型
070026,嘉实信用C,债券型
070008,嘉实货币,货币型
460106,华泰柏瑞货币B,货币型
460006,华泰柏瑞货币A,货币型
460003,华泰柏瑞稳本增利B,债券型
630109,华商稳定增利C,债券型
630107,华商稳健双利B类,债券型
630103,华商收益增强B类,债券型
041003,华安现金富利货币B,货币型
000537,华安月安鑫（本期）,债券型
040032,华安月安鑫（申购）,债券型
040033,华安月安鑫A类,债券型
040034,华安月安鑫B类,债券型
040029,华安月月鑫B,债券型
040028,华安月月鑫A,债券型
040023,华安可转债B,债券型
001532,华安文体健康主题混合,混合型
002399,华安安禧保本混合C类,其他
040003,华安现金富利货币,货币型
160421,华安智增精选混合,混合型
004263,华安沪港深机会灵活,混合型
519506,海富通货币B,货币型
519505,海富通货币A,货币型
519030,海富通稳固收益债券,债券型
519023,海富通稳健添利债券C,债券型
001576,国泰智能装备股票型,股票型
020032,国泰现金管理B,货币型
020031,国泰现金管理A,货币型
020020,国泰双利债券C,债券型
270014,广发货币B级,货币型
270004,广发货币A级,货币型
091005,大成货币B,货币型
090005,大成货币A,货币型
160514,博时裕祥分级A,债券型
050003,博时现金收益货币,货币型
050006,博时稳定价值债券B,债券型
050111,博时信用债券C,债券型
050116,博时宏观回报债券C类,债券型
050119,博时转债增强债券C类,债券型
050123,博时天颐C,债券型
051011,博时信用债券B,债券型
051016,博时宏观回报债券B类,债券型
000929,增金贝,其他
002215,招商招益一年债券,债券型
161727,招商增荣混合（LOF）,混合型
519029,华夏稳增混合,混合型
160314,华夏行业股票（LOF）,混合型
160311,华夏蓝筹混合（LOF）,混合型
001013,华夏希望债券C,债券型
001003,华夏债券C,债券型
003003,华夏现金增利货币,货币型
485114,工银添颐债券A,债券型
519189,万家信用恒利C类,债券型
003588,东吴增鑫宝A类,货币型
003589,东吴增鑫宝B类,货币型
002969,易方达丰和债券型,债券型
001010,易方达增金宝货币基金,货币型
003524,易方达深成指ETF联接,股票型
161125,易方达标普500指数 （LOF）,股票型
161126,易方达标普医疗保健指数（LOF）,股票型
161127,易方达标普生物科技指数（LOF）,股票型
161128,易方达标普信息科技指数（LOF）,股票型
001826,国寿安保增金宝货币基金,货币型
051001,博时价值增长混合后端,混合型
051106,博时稳定价值债券A后端,债券型
051010,博时特许价值股票后端,混合型
051014,博时创业成长股票后端,混合型
051201,博时价值增长贰号混合后端,混合型
091001,大成价值增长混合后端,混合型
091002,大成债券后端,债券型
091003,大成蓝筹稳健混合后端,混合型
091006,大成2020生命周期混合后端,混合型
091008,大成强化收益债券后端,债券型
519301,大成沪深300指数后端,股票型
202004,南方绩优成长股票后端,混合型
202006,南方成份精选股票后端,混合型
202008,南方隆元产业主题股票后端,混合型
202010,南方盛元红利股票后端,混合型
202012,南方优选价值股票后端,混合型
202016,南方沪深300指数后端,股票型
202018,南方深成联接后端,股票型
202020,南方策略优选股票后端,混合型
202022,南方小康产业ETF联接后端,股票型
202024,南方优选成长后端,混合型
202026,南方上证380ETF联接后端,股票型
160107,南方高增长股票(LOF)后端,混合型
160120,南方中证500指数后端,股票型
160122,南方金砖四国后端,股票型
160126,南方中国中小盘后端,股票型
270011,广发聚富混合后端,混合型
270012,广发稳健增长混合后端,混合型
270015,广发聚丰股票后端,混合型
270016,广发策略优选混合后端,混合型
270017,广发大盘成长混合后端,混合型
168108,九泰锐诚定增灵活,混合型
000412,国开岁月鎏金信用债A,债券型
000413,国开岁月鎏金信用债C,债券型
000901,国开货币A,货币型
000902,国开货币B,货币型
003762,国开泰富开泰灵活A,混合型
003763,国开泰富开泰灵活C,混合型
004214,方正富邦鑫利宝货币A,货币型
004215,方正富邦鑫利宝货币B,货币型
003787,方正富邦惠利纯债A,债券型
003788,方正富邦惠利纯债C,债券型
070032,嘉实优化红利,混合型
003745,广发多元新型股票型证券投资基金,股票型
003125,中科沃土沃鑫成长精选,股票型
000482,华安月月鑫申购,债券型
003593,国泰景气灵活配置,混合型
070088, 嘉实货币B,货币型
001790,国泰智能汽车股票,股票型
002181,华安大安全主题混合,混合型
164823,工银瑞信深证成份指数,股票型
005136,华安幸福生活,混合型
005156,嘉实领航资产配置FOFA,混合型
005157,嘉实领航资产配置FOFC,混合型
005218,华夏聚惠稳健目标FOFA,混合型
005219,华夏聚惠稳健目标FOFC,混合型
