code,name,type
000178,博时混合,hyber
000219,博时裕益混合,hyber
000264,博时内需增长混合,hyber
050001,博时价值增长混合,hyber
050002,博时沪深300指数,stock
050004,博时精选混合,hyber
050007,博时平衡配置混合,hyber
050008,博时第三产业混合,hyber
050009,博时新兴成长混合,hyber
050010,博时特许价值股票,hyber
050011,博时信用债券A,bond
050012,博时策略灵活配置混合,hyber
050013,博时超级大盘ETF联接,stock
050014,博时创业成长混合,hyber
050015,博时大中华亚太精选股票(QDII),QDII
050016,博时宏观回报债券A类,bond
050018,博时行业轮动混合,hyber
050019,博时转债增强债券A类,bond
050020,博时抗通胀增强回报（QDII）,QDII
050021,博时深证基本面200ETF联接,stock
050022,博时回报混合,hyber
050023,博时天颐债券A,bond
050024,博时上证自然资源ETF联接,stock
050025,博时标普500ETF联接,stock
050026,博时医疗保健混合,hyber
050030,博时亚洲票息收益债券（QDII）,QDII
050106,博时稳定价值债券A,bond
050201,博时价值增长贰号混合,hyber
160505,博时主题行业股票(LOF),hyber
160512,博时卓越品牌混合（LOF）,hyber
090001,大成价值增长混合,hyber
090002,大成债券,bond
090003,大成蓝筹稳健混合,hyber
090004,大成精选增值混合,hyber
090006,大成2020生命周期混合,hyber
090007,大成策略回报股票,hyber
090008,大成强化收益债券,bond
090009,大成行业轮动股票,hyber
090010,大成中证红利指数,stock
090011,大成核心双动力,hyber
090012,大成深证40ETF联接,stock
090013,大成保本混合,hyber
090015,大成内需增长,hyber
090016,大成中证内地消费主题,hyber
090017,大成可转债,bond
090018,大成新锐产业,hyber
090019,大成景恒保本混合,other
092002,大成债券C,bond
096001,大成标普500,stock
160910,大成创新成长混合,hyber
519017,大成积极成长股票,hyber
519019,大成景阳领先股票,hyber
519300,大成沪深300指数,stock
000117,广发轮动配置,hyber
000179,广发美国房地产人民币,stock
162703,广发小盘成长股票（LOF）,hyber
162711,广发中证500指数（LOF）,stock
162714,广发深证100指数分级,stock
270001,广发聚富混合,hyber
270002,广发稳健增长混合,hyber
270005,广发聚丰股票,hyber
270006,广发策略优选混合,hyber
270007,广发大盘成长混合,hyber
270008,广发核心精选股票,hyber
270009,广发增强债券,bond
270010,广发沪深300指数,stock
270021,广发聚瑞股票,hyber
270022,广发内需增长混合,hyber
270023,广发亚太精选股票,stock
270025,广发行业领先股票,hyber
270026,广发中小板300联接,stock
270027,广发标普全球农业,stock
270028,广发制造业精选,hyber
270041,广发消费品精选,hyber
270042,广发纳斯达克100,stock
000193,国泰美房（QDII）,QDII
000199,国泰目标收益保本,hyber
020001,国泰金鹰增长,hyber
020003,国泰金龙行业,hyber
020005,国泰金马稳健,hyber
020009,国泰金鹏蓝筹价值,hyber
020010,国泰金牛创新成长,hyber
020011,国泰沪深300指数,stock
020015,国泰区位优势,hyber
020018,国泰金鹿保本,other
020019,国泰双利债券A,bond
020021,国泰上证180金融ETF联接,stock
020022,国泰保本混合,other
020023,国泰事件驱动,hyber
020025,国泰中小板300成长ETF联接,stock
020026,国泰成长优选,hyber
160211,国泰中小盘成长,hyber
160212,国泰估值,hyber
160213,国泰纳斯达克100,stock
160215,国泰价值经典,hyber
160216,国泰大宗商品,other
160218,国泰国证房地产,stock
519020,国泰金泰平衡,hyber
519021,国泰金鼎价值,hyber
162307,海富通中证100指数（LOF）,stock
162308,海富通稳进增利分级,bond
519003,海富通收益增长混合,hyber
519005,海富通股票,hyber
519007,海富通强化回报混合,hyber
519011,海富通精选混合,hyber
519013,海富通风格优势股票,hyber
519015,海富通精选贰号混合,hyber
519024,海富通稳健添利债券A,bond
519025,海富通领先成长股票,hyber
519026,海富通中小盘股票,hyber
519027,海富通上证周期50ETF联接,stock
519032,海富通非周期100联接,stock
519033,海富通国策导向,hyber
519034,海富通中证内地低碳经济,stock
519601,海富通中国海外股票(QDII),QDII
519602,海富通大中华,hyber
000072,华安保本,other
000294,华安生态优先,hyber
040001,华安创新混合,hyber
040002,华安中国A股增强指数,stock
040004,华安宝利配置混合,hyber
040005,华安宏利股票,hyber
040007,华安中小盘成长股票,hyber
040008,华安策略优选股票,hyber
040009,华安稳定收益债券A,bond
040010,华安稳定收益债券B,bond
040011,华安核心股票,hyber
040012,华安强化收益债券A,bond
040013,华安强化收益债券B,bond
040015,华安动态灵活配置,hyber
040016,华安行业轮动,hyber
040018,华安香港精选,stock
040019,华安稳固收益债券,bond
040020,华安升级主题股票,hyber
040021,华安大中华股票,stock
040022,华安可转债A,bond
040025,华安科技动力,hyber
040026,华安信用四季红,bond
040027,华安月月鑫申购,bond
040035,华安逆向策略,hyber
040045,华安信用增强,bond
040180,华安上证180ETF联接指数,stock
040190,华安上证龙头ETF联接,stock
160415,华安深证300,stock
160416,华安标普全球石油,stock
002398,华安安禧保本混合A类,other
000541,华商创新成长,hyber
630001,华商领先企业,hyber
630002,华商盛世成长,hyber
630003,华商收益增强A类,bond
630005,华商动态阿尔法,hyber
630006,华商产业升级,hyber
630007,华商稳健双利,bond
630008,华商策略精选,hyber
630009,华商稳定增利A,bond
630010,华商价值精选,hyber
630011,华商主题精选,hyber
630015,华商大盘量化,hyber
630016,华商价值共享,hyber
460001,华泰柏瑞盛世中国,hyber
460002,华泰柏瑞积极成长,hyber
460005,华泰柏瑞价值增长,hyber
460007,华泰柏瑞行业领先,hyber
004394,华泰柏瑞量化创优,hyber
460009,华泰柏瑞量化先行,hyber
460010,华泰柏瑞亚洲,hyber
460220,华泰柏瑞中小盘ETF联,stock
460300,华泰柏瑞沪深300ETF,stock
519519,华泰柏瑞稳本增利A,bond
070001,嘉实成长收益混合,hyber
070002,嘉实增长混合,hyber
070003,嘉实稳健混合,hyber
070005,嘉实债券,bond
070006,嘉实服务增值行业混合,hyber
070009,嘉实超短债债券,bond
070010,嘉实主题混合,hyber
070011,嘉实策略混合,hyber
070012,嘉实海外中国股票(QDII),QDII
070013,嘉实研究精选股票,hyber
070015,嘉实多元债券A,bond
070016,嘉实多元债券B,bond
070017,嘉实量化阿尔法股票,hyber
070018,嘉实回报混合,hyber
070019,嘉实价值优势股票,hyber
070020,嘉实稳固收益债券,bond
070021,嘉实主题新动力股票,hyber
070022,嘉实领先成长,hyber
070023,嘉实深证基本面120ETF联接,stock
070025,嘉实信用A,bond
070027,嘉实周期优选,hyber
070030,嘉实中创400ETF联接,stock
070099,嘉实优质企业股票,hyber
160706,嘉实沪深300指数（LOF）,stock
160716,嘉实基本面50指数（LOF）,stock
160717,嘉实恒生国企指数LOF,stock
160718,嘉实多利分级,bond
160719,嘉实黄金（QDII-FOF-LOF）,QDII
000020,景顺品质投资,hyber
000242,景顺策略精选,hyber
162605,景顺长城鼎益,hyber
162607,景顺长城资源垄断,hyber
260101,景顺长城优选股票,hyber
260103,景顺长城动力平衡混合,hyber
260104,景顺长城内需增长股票,hyber
260108,景顺长城新兴成长股票,hyber
260109,景顺长城内需贰号股票,hyber
260110,景顺长城精选蓝筹股票,hyber
260111,景顺长城公司治理,hyber
260112,景顺长城能源基建股票,hyber
260115,景顺长城中小盘,hyber
260116,景顺长城核心竞争力,hyber
260117,景顺支柱产业,hyber
261001,景顺长城稳定收益A,bond
261002,景顺长城优信增利A,bond
262001,景顺长城大中华,hyber
263001,景顺长城上证180等权重ETF联接,stock
160121,南方金砖四国,stock
160105,南方积极配置股票LOF,hyber
160106,南方高增长股票(LOF),hyber
160119,南方中证500指数,stock
160123,南方中证50债券指数,bond
160125,南方中国中小盘,stock
160127,南方新兴消费增长,stock
202001,南方稳健成长混合,hyber
202002,南方稳健成长贰号混合,hyber
202003,南方绩优成长股票,hyber
202005,南方成份精选股票,hyber
202007,南方隆元产业主题股票,hyber
202009,南方盛元红利股票,hyber
202011,南方优选价值股票,hyber
202015,南方沪深300指数,stock
202017,南方深成联接,stock
202019,南方策略优选股票,hyber
202021,南方小康产业ETF联接,stock
202023,南方优选成长,hyber
202025,南方上证380ETF联接,stock
202101,南方宝元债券,hyber
202103,南方多利债券A,bond
202105,南方广利回报A,bond
202108,南方润元纯债（A类）,bond
202202,南方避险增值混合,other
202211,南方恒元保本混合,other
202212,南方保本,other
202801,南方全球精选配置(QDII-FOF),QDII
160616,鹏华中证500指数（LOF）,stock
160602,鹏华普天债券A,bond
160603,鹏华普天收益混合,hyber
160605,鹏华中国50混合,hyber
160607,鹏华价值优势股票(LOF),hyber
160608,鹏华普天债券B,bond
160610,鹏华动力增长混合(LOF),hyber
160611,鹏华优质治理股票(LOF),hyber
160612,鹏华丰收债券,bond
160613,鹏华盛世创新股票(LOF),hyber
160615,鹏华沪深300指数(LOF),stock
206001,鹏华行业成长混合,hyber
206002,鹏华精选成长股票,stock
206003,鹏华信用增利（A类),bond
206004,鹏华信用增利（B类),bond
206005,鹏华上证民企50ETF联接,stock
206006,鹏华环球发现（QDII-FOF）,QDII
206007,鹏华消费优选,hyber
206008,鹏华丰盛稳固收益,bond
206009,鹏华新兴产业,hyber
206010,鹏华深证民营ETF联接,stock
206011,鹏华美国房地产,hyber
206012,鹏华价值精选,stock
206013,鹏华金刚保本,other
420102,天弘永利债券,bond
000244,天弘稳利A,bond
164205,天弘深证成指,hyber
420001,天弘精选,hyber
420003,天弘永定成长,hyber
420005,天弘周期策略,hyber
420008,天弘bond发起式A,bond
420009,天弘安康养老,hyber
350005,天治中国制造2025,hyber
350006,天治稳健双盈,bond
350007,天治趋势精选,hyber
350009,天治稳定收益,hyber
519087,新华优选分红,hyber
519089,新华优选成长,hyber
519091,新华泛资源优势,hyber
519093,新华钻石品质,hyber
519095,新华行业周期轮换,hyber
519097,新华中小市值优选,hyber
519099,新华灵活主题,hyber
519150,新华优选消费,hyber
519152,新华纯债添利A,bond
519156,新华行业轮换,hyber
519158,新华趋势领航,hyber
161130,易方纳斯达克100指数（LOF）,stock
000404,易方达新兴成长,hyber
110001,易方达平稳增长,hyber
110002,易方达策略成长,hyber
110003,易方达上证50,stock
110005,易方达积极成长,hyber
110007,易方达稳健收益A,bond
110008,易方达稳健收益B,bond
110009,易方达价值精选,hyber
110010,易方达价值成长,hyber
110011,易方达中小盘,hyber
110012,易方达科汇,hyber
110013,易方达科翔,hyber
110015,易方达行业领先,hyber
110017,易方达增强回报A,bond
110018,易方达增强回报B,bond
110019,易方达深证100ETF联接,stock
110020,易方达沪深300ETF联接,stock
110021,易方达中盘ETF联接,stock
110022,易方达消费行业,stock
110023,易方达医疗行业,hyber
110025,易方达资源行业,hyber
110026,易方达创业板ETF联接,stock
110027,易方达安心回报A,bond
110028,易方达安心回报B,bond
110029,易方达科讯,hyber
110030,易方达沪深300量化,stock
110031,易方达H股ETF人民币,stock
112002,易方达策略二号,hyber
118001,易方达亚洲精选,stock
118002,易方达全球高端消费,stock
161115,易方达岁丰添利,bond
161116,易方达黄金主题,other
161118,易方达中小板指数,stock
001475,易方达国防军工,hyber
000307,易方达黄金ETF联接,stock
001433,易方达瑞景混合,hyber
166801,浙商聚潮新思维混合,hyber
166802,浙商沪深300指数分级,stock
688888,浙商聚潮产业,hyber
590001,中邮核心优选,hyber
590002,中邮核心成长,hyber
590003,中邮核心优势,hyber
590005,中邮核心主题,hyber
590006,中邮中小盘,hyber
590007,中邮上证380,stock
590008,中邮战略新兴产业,hyber
590009,中邮稳债A,bond
000960,招商医药健康产业股票,stock
000746,招商行业精选股票,stock
217001,招商安泰偏股,hyber
217021,招商优势企业混合,hyber
161706,招商优质成长混合(LOF),hyber
217010,招商大盘蓝筹,hyber
001404,招商移动互联网产业股票,stock
001403,招商国企改革主题混合基金,hyber
000126,招商安润保本混合,other
217024,招商安盈保本混合,other
217002,招商安泰平衡混合,hyber
000679,招商丰利灵活配置,hyber
000530,招商丰盛稳定增长混合,hyber
217012,招商行业领先混合,hyber
217013,招商中小盘精选股票,hyber
217018,招商安瑞进取债券,bond
217008,招商安本增利债券,bond
217023,招商信用增强债券,bond
002031,华夏策略混合,hyber
002021,华夏回报二号混合,hyber
002011,华夏红利混合,hyber
002001,华夏回报混合,hyber
001011,华夏希望债券A,bond
001001,华夏债券A,bond
000061,华夏盛世精选股票,hyber
000051,华夏沪深300指数,stock
000041,华夏全球股票（QDII）,QDII
000031,华夏复兴股票基金,hyber
000021,华夏优势增长股票,hyber
000011,华夏大盘精选混合,hyber
000001,华夏成长混合,hyber
001496,工银瑞信聚焦30stock,stock
001158,工银新材料新能源行业stock,stock
000831,工银医疗保健行业stock,stock
481015,工银主题策略hyber,hyber
000251,工银金融地产行业hyber,hyber
481010,工银瑞信中小盘型,stock
000263,工银瑞信信息产业混合,hyber
000793,工银高端制造股票,stock
000893,工银创新动力股票,stock
481001,工银核心价值股票,hyber
001008,工银国企改革股票,stock
000991,工银战略转型股票,stock
001054,工银新金融股票,stock
483003,工银精选平衡混合,hyber
000763,工银新财富灵活配置混合,hyber
000667,工银绝对收益混合发起,hyber
485107,工银添利债券,bond
164809,工银中证500指数,stock
481009,工银沪深300,stock
519186,万家稳健增利债券A类,bond
519188,万家信用恒利A类,bond
519183,万家双引擎灵活配置,hyber
001708,东兴改革精选灵活配置,hyber
001897,九泰久盛量化先锋灵活配置,hyber
590010,中邮稳债C,bond
519153,新华纯债添利C,bond
350004,天治天得利,货币型
420108,天弘bond发起式B,bond
420106,天弘现金B,货币型
420006,天弘现金A,货币型
420002,天弘永利债券A,bond
164209,天弘丰利分级A,bond
164207,天弘添利A,bond
000245,天弘稳利B,bond
160619,鹏华丰泽分级A,bond
160609,鹏华货币B,货币型
160606,鹏华货币A,货币型
202302,南方现金增利货币B,货币型
202301,南方现金增利货币A,货币型
202110,南方润元纯债（C类）,bond
202109,南方润元纯债（B类）,bond
202107,南方广利回报C,bond
202106,南方广利回报B,bond
202102,南方多利债券C,bond
160128,南方金利,bond
160124,南方中证50债券指数C,bond
261102,景顺长城优信增利C,bond
261101,景顺长城稳定收益C,bond
260202,景顺长城货币B,货币型
260102,景顺长城货币A,货币型
070029,嘉实安心货币B,货币型
070028,嘉实安心货币A,货币型
070026,嘉实信用C,bond
070008,嘉实货币,货币型
460106,华泰柏瑞货币B,货币型
460006,华泰柏瑞货币A,货币型
460003,华泰柏瑞稳本增利B,bond
630109,华商稳定增利C,bond
630107,华商稳健双利B类,bond
630103,华商收益增强B类,bond
041003,华安现金富利货币B,货币型
000537,华安月安鑫（本期）,bond
040032,华安月安鑫（申购）,bond
040033,华安月安鑫A类,bond
040034,华安月安鑫B类,bond
040029,华安月月鑫B,bond
040028,华安月月鑫A,bond
040023,华安可转债B,bond
001532,华安文体健康主题混合,hyber
002399,华安安禧保本混合C类,other
040003,华安现金富利货币,货币型
160421,华安智增精选混合,hyber
004263,华安沪港深机会灵活,hyber
519506,海富通货币B,货币型
519505,海富通货币A,货币型
519030,海富通稳固收益债券,bond
519023,海富通稳健添利债券C,bond
001576,国泰智能装备stock,stock
020032,国泰现金管理B,货币型
020031,国泰现金管理A,货币型
020020,国泰双利债券C,bond
270014,广发货币B级,货币型
270004,广发货币A级,货币型
091005,大成货币B,货币型
090005,大成货币A,货币型
160514,博时裕祥分级A,bond
050003,博时现金收益货币,货币型
050006,博时稳定价值债券B,bond
050111,博时信用债券C,bond
050116,博时宏观回报债券C类,bond
050119,博时转债增强债券C类,bond
050123,博时天颐C,bond
051011,博时信用债券B,bond
051016,博时宏观回报债券B类,bond
000929,增金贝,other
002215,招商招益一年债券,bond
161727,招商增荣混合（LOF）,hyber
519029,华夏稳增混合,hyber
160314,华夏行业股票（LOF）,hyber
160311,华夏蓝筹混合（LOF）,hyber
001013,华夏希望债券C,bond
001003,华夏债券C,bond
003003,华夏现金增利货币,货币型
485114,工银添颐债券A,bond
519189,万家信用恒利C类,bond
003588,东吴增鑫宝A类,货币型
003589,东吴增鑫宝B类,货币型
002969,易方达丰和bond,bond
001010,易方达增金宝货币基金,货币型
003524,易方达深成指ETF联接,stock
161125,易方达标普500指数 （LOF）,stock
161126,易方达标普医疗保健指数（LOF）,stock
161127,易方达标普生物科技指数（LOF）,stock
161128,易方达标普信息科技指数（LOF）,stock
001826,国寿安保增金宝货币基金,货币型
051001,博时价值增长混合后端,hyber
051106,博时稳定价值债券A后端,bond
051010,博时特许价值股票后端,hyber
051014,博时创业成长股票后端,hyber
051201,博时价值增长贰号混合后端,hyber
091001,大成价值增长混合后端,hyber
091002,大成债券后端,bond
091003,大成蓝筹稳健混合后端,hyber
091006,大成2020生命周期混合后端,hyber
091008,大成强化收益债券后端,bond
519301,大成沪深300指数后端,stock
202004,南方绩优成长股票后端,hyber
202006,南方成份精选股票后端,hyber
202008,南方隆元产业主题股票后端,hyber
202010,南方盛元红利股票后端,hyber
202012,南方优选价值股票后端,hyber
202016,南方沪深300指数后端,stock
202018,南方深成联接后端,stock
202020,南方策略优选股票后端,hyber
202022,南方小康产业ETF联接后端,stock
202024,南方优选成长后端,hyber
202026,南方上证380ETF联接后端,stock
160107,南方高增长股票(LOF)后端,hyber
160120,南方中证500指数后端,stock
160122,南方金砖四国后端,stock
160126,南方中国中小盘后端,stock
270011,广发聚富混合后端,hyber
270012,广发稳健增长混合后端,hyber
270015,广发聚丰股票后端,hyber
270016,广发策略优选混合后端,hyber
270017,广发大盘成长混合后端,hyber
168108,九泰锐诚定增灵活,hyber
000412,国开岁月鎏金信用债A,bond
000413,国开岁月鎏金信用债C,bond
000901,国开货币A,货币型
000902,国开货币B,货币型
003762,国开泰富开泰灵活A,hyber
003763,国开泰富开泰灵活C,hyber
004214,方正富邦鑫利宝货币A,货币型
004215,方正富邦鑫利宝货币B,货币型
003787,方正富邦惠利纯债A,bond
003788,方正富邦惠利纯债C,bond
070032,嘉实优化红利,hyber
003745,广发多元新型stock证券投资基金,stock
003125,中科沃土沃鑫成长精选,stock
000482,华安月月鑫申购,bond
003593,国泰景气灵活配置,hyber
070088, 嘉实货币B,货币型
001790,国泰智能汽车股票,stock
002181,华安大安全主题混合,hyber
164823,工银瑞信深证成份指数,stock
005136,华安幸福生活,hyber
005156,嘉实领航资产配置FOFA,hyber
005157,嘉实领航资产配置FOFC,hyber
005218,华夏聚惠稳健目标FOFA,hyber
005219,华夏聚惠稳健目标FOFC,hyber
