,kmrd,betago,sz,xj
1,0.0,0.0,0.7922154822831348,0.0
10,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
100,0.5128041940246977,0.0,0.4332726798390203,0.47060382508691234
11,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
12,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
13,0.40703578839032317,0.47185669082345344,1.0,0.7309158897178567
14,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
15,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
16,0.0,0.0,0.7922154822831348,0.0
17,0.40703578839032317,0.47185669082345344,1.0,0.7309158897178567
18,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
19,0.5128041940246975,0.47185669082345344,0.4332726798390203,0.47060382508691234
2,0.0,0.0,0.7922154822831348,0.0
20,0.5128041940246977,0.0,0.4332726798390203,0.47060382508691234
21,0.6134916638198221,0.0,1.0,0.7309158897178567
22,0.5151343983976344,0.47185669082345344,1.0,0.7309158897178567
23,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
24,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
25,0.42619021642542354,0.0,0.4332726798390203,0.47060382508691234
26,0.0,0.0,0.7922154822831348,0.0
27,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
28,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
29,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
3,0.0,0.0,0.7922154822831348,0.0
30,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
31,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
32,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
33,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
34,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
35,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
36,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
37,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
38,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
39,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
4,0.0,0.0,0.7922154822831348,0.0
40,0.5128041940246977,0.0,0.4332726798390203,0.47060382508691234
41,0.5128041940246977,0.0,0.4332726798390203,0.47060382508691234
42,0.5128041940246975,0.47185669082345344,0.4332726798390203,0.47060382508691234
43,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
44,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
45,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
46,0.0,0.0,0.7922154822831348,0.0
47,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
48,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
49,0.42619021642542354,0.0,0.46726462339570785,0.590024725992567
5,0.0,0.0,0.7922154822831348,0.0
50,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
51,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
52,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
53,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
54,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
55,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
56,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
57,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
58,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
59,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
6,0.0,0.0,0.7922154822831348,0.0
60,0.6134916638198221,0.0,1.0,0.7309158897178567
61,0.6134916638198221,0.0,1.0,0.7309158897178567
62,0.5151343983976344,0.47185669082345344,1.0,0.7309158897178567
63,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
64,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
65,0.40703578839032317,0.0,1.0,0.7309158897178567
66,0.0,0.0,0.7922154822831348,0.0
67,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
68,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
69,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
7,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
70,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
71,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
72,0.40703578839032317,0.47185669082345344,1.0,0.7309158897178567
73,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
74,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
75,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
76,0.0,0.0,0.7922154822831348,0.0
77,0.40703578839032317,0.47185669082345344,1.0,0.7309158897178567
78,0.42619021642542354,0.47185669082345344,0.7013084307996684,0.4126571667134212
79,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
8,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
80,0.6134916638198221,0.0,1.0,0.7309158897178567
81,0.6134916638198221,0.0,1.0,0.7309158897178567
82,0.5151343983976344,0.0,1.0,0.7309158897178567
83,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
84,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
85,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
86,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
87,0.42619021642542354,0.0,0.4332726798390203,0.47060382508691234
88,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
89,0.42619021642542354,0.0,0.46726462339570785,0.590024725992567
9,0.42619021642542354,0.0,0.46726462339570785,0.590024725992567
90,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
91,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
92,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
93,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
94,0.42239839967531523,0.47185669082345344,0.7013084307996684,0.4126571667134212
95,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
96,0.0,0.0,0.7922154822831348,0.0
97,0.42619021642542354,0.47185669082345344,0.4332726798390203,0.47060382508691234
98,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
99,0.42619021642542354,0.47185669082345344,0.46726462339570785,0.590024725992567
